key_en,key_ru,key_hy
Soak,Замачивание,Թրջում
Soft Close hinges,Петли мягкого закрывания,Փափուկ փակման ծխնիներ
Soft Close system,Система мягкого закрывания,Փափուկ փակման համակարգ
Soft Open,Мягкое открывание,Փափուկ բացում
Sound alarm after brewing,Звуковой сигнал после варки,Եփելուց հետո ձայնային ազդանշան
Sound power level at highest setting (Lwa),Уровень звуковой мощности на макс. настройке (Lwa),Ձայնային հզորության մակարդակ առավելագույն կարգավորումով (Lwa)
Sound signals,Звуковые сигналы,Ձայնային ազդանշաններ
Spacer depth,Глубина проставки,Բաժանարարի խորություն
Special Clean programme, to remove residual fluff,Специальная программа очистки от остаточного ворса,Հատուկ մաքրման ծրագիր մնացորդային փափկության հեռացման համար
Special programs option,Опция специальных программ,Հատուկ ծրագրերի տարբերակ
Speed control,Регулировка скорости,Արագության կառավարում
Speeds,Скорости,Արագություններ
Spin speed selection on display/LED,Выбор скорости отжима на дисплее/LED,Պտտման արագության ընտրություն էկրանին/LED-ի վրա
Spin-drying efficiency class,Класс эффективности отжима,Պտտման արդյունավետության դաս
Spout color,Цвет носика,Ժայթքի գույնը
Spout material,Материал носика,Ժայթքի նյութ
Spout type,Тип носика,Ժայթքի տեսակը
St/steel perforated deep tray (40mm),Перфорированный глубокий противень из нерж. стали (40 мм),Ծակոտած խորը սկուտեղ չժանգոտվող պողպատից (40 մմ)
St/steel tray (20mm),Противень из нерж. стали (20 мм),Չժանգոտվող պողպատից սկուտեղ (20 մմ)
Stand-by mode,Режим ожидания,Սպասման ռեժիմ
Stand-by setting,Настройка режима ожидания,Սպասման ռեժիմի կարգավորում
Standby activation time,Время активации режима ожидания,Սպասման ռեժիմի ակտիվացման ժամանակ
Standby power,Мощность в режиме ожидания,Սպասման ռեժիմի հզորություն
Start cycle,Старт цикла,Ցիկլի մեկնարկ
Start timing,Запуск по таймеру,Ժմչփով մեկնարկ
Steady Mix System,Система Steady Mix,Steady Mix համակարգ
Steam / Hot water lever material,Материал рычага пара/горячей воды,Գոլորշու/տաք ջրի լծակի նյութ
Steam activation,Активация пара,Գոլորշու ակտիվացում
Steam assisted levels,Уровни помощи паром,Գոլորշու օգնության մակարդակներ
Steam nozzle material,Материал паровой насадки,Գոլորշու վարդակի նյութ
Steam protection,Защита от пара,Գոլորշու պաշտպանություն
Steam range,Диапазон пара,Գոլորշու տիրույթ
Steam wand cleaning needle,Игла для очистки паровой трубки,Գոլորշու խողովակի մաքրման ասեղ
Sterilise option,Опция стерилизации,Ստերիլիզացման տարբերակ
Sticker,Наклейка,Կպցուկ
Stirrer,Мешалка,Խառնիչ
Storage compartment,Отделение для хранения,Պահեստավորման խցիկ
Strainer dimension,Размер сита,Քամիչի չափ
Strainer dimension LH bowl,Размер сита для чаши LH,Քամիչի չափ LH թասի համար
Strainer position,Положение сита,Քամիչի դիրքը
Strainer position LH bowl,Положение сита для чаши LH,Քամիչի դիրքը LH թասի համար
Suitable for,Подходит для,Հարմար է
Sum of the volumes of the chill compartment(s) and the unfrozen compartment(s),Сумма объёмов охлаждаемых и незамороженных отделений,Սառեցման և չսառեցված խցիկների ծավալների գումար
Sum of the volumes of the frozen compartment(s),Сумма объёмов морозильных отделений,Սառեցված խցիկների ծավալների գումար
Support pins colour,Цвет опорных штифтов,Հենակետային քորոցների գույնը
Support pins material,Материал опорных штифтов,Հենակետային քորոցների նյութ
Swivelling spout,Поворотный носик,Պտտվող ժայթք
Swivelling spout rotation,Поворот носика,Ժայթքի պտույտ
TARE button,Кнопка ТАРА,ՏԱՐԱ կոճակ
Tank Material,Материал бака,Բաքի նյութ
Tank capacity,Вместимость бака,Բաքի տարողություն
Tap hole,Отверстие под кран,Ծորակի անցք
Tap hole / precut tap hole,Отверстие под кран / предварительно вырезанное отверстие,Ծորակի անցք / նախապես կտրված ծորակի անցք
Tap hole diameter,Диаметр отверстия под кран,Ծորակի անցքի տրամագիծը
Tap type,Тип крана,Ծորակի տեսակը
Tare function,Функция тары,Տարայի գործառույթ
Telescopic Guide rails, partial Extraction,Телескопические направляющие, частичное выдвижение,Հեռադիտակային ուղեցույցներ, մասնակի հանում
Telescopic Guide rails, total Extraction,Телескопические направляющие, полное выдвижение,Հեռադիտակային ուղեցույցներ, ամբողջական հանում
Telescopic Guide rails, total Extraction (inox),Телескопические направляющие, полное выдвижение (инокс),Հեռադիտակային ուղեցույցներ, ամբողջական հանում (inox)
Temperature Alarm,Сигнал температуры,Ջերմաստիճանի ազդանշան
Temperature Rise Time,Время повышения температуры,Ջերմաստիճանի բարձրացման ժամանակ
Temperature alarm,Сигнал температуры,Ջերմաստիճանի ազդանշան
Temperature alarm lamp,Лампа сигнала температуры,Ջերմաստիճանի ազդանշանի լամպ
Temperature control,Регулировка температуры,Ջերմաստիճանի կառավարում
Temperature display LED,LED-дисплей температуры,Ջերմաստիճանի LED էկրան
Temperature probe,Термозонд,Ջերմազոնդ
Temperature range,Диапазон температур,Ջերմաստիճանի տիրույթ
Temperature settings,Настройки температуры,Ջերմաստիճանի կարգավորումներ
Third spray arm,Третья разбрызгивающая рука,Երրորդ ցողիչ թև
Tiliting grill,Наклонный гриль,Թեքվող գրիլ
Tilting grill,Наклонный гриль,Թեքվող գրիլ
Time drying selection,Выбор времени сушки,Չորացման ժամանակի ընտրություն
Time increase factor (F),Коэффициент увеличения времени (F),Ժամանակի ավելացման գործակից (F)
Time of the standard cotton program at full load,Время стандартной программы хлопок при полной загрузке,Ստանդարտ բամբակյա ծրագրի ժամանակը ամբողջ բեռնվածությամբ
Time of the standard cotton program at partial load,Время стандартной программы хлопок при частичной загрузке,Ստանդարտ բամբակյա ծրագրի ժամանակը մասնակի բեռնվածությամբ
Time-setting options,Опции установки времени,Ժամանակի կարգավորման տարբերակներ
Timer,Таймер,Ժմչփ
Tones,Звуковые сигналы,Ձայներ
Tones deactivation,Отключение звуковых сигналов,Ձայների անջատում
Top colour,Цвет верха,Վերևի գույնը
Top material,Материал верха,Վերևի նյութ
Total gross volume,Общий объём брутто,Ընդհանուր համախառն ծավալ
Total net volume,Общий полезный объём,Ընդհանուր զուտ ծավալ
Total no. of cook zones,Общее количество зон приготовления,Խոհարարության գոտիների ընդհանուր քանակ
Total no. of door glasses,Общее количество стёкол в дверце,Դռան ապակիների ընդհանուր քանակ
Total storage volume,Общий полезный объём хранения,Պահեստավորման ընդհանուր ծավալ
Touch guide,Сенсорное управление,Սենսորային ուղեցույց
Transparent door,Прозрачная дверца,Թափանցիկ դուռ
Trays,Подносы,Սկուտեղներ
Trigger colour,Цвет курка,Ձգանի գույնը
Tub material,Материал бака,Բաքի նյութ
Tube reduction,Редукция трубки,Խողովակի կրճատում
Turbidity sensor Aquatest,Датчик мутности Aquatest,Պղտորության սենսոր Aquatest
Turbo Function,Функция Turbo,Turbo գործառույթ
Turbo function,Функция Turbo,Turbo գործառույթ
Turntable,Поворотный стол,Պտտվող սեղան
Turntable dimension,Размер поворотного стола,Պտտվող սեղանի չափը
Turntable dimensions,Размеры поворотного стола,Պտտվող սեղանի չափերը
Type,Тип,Տեսակ
Type of clips,Тип клипс,Կցորդների տեսակը
Type of compressor,Тип компрессора,Կոմպրեսորի տեսակը
Type of connection,Тип подключения,Միացման տեսակը
Type of control knobs,Тип ручек управления,Կառավարման կոճակների տեսակը
Type of control setting,Тип настройки управления,Կառավարման կարգավորման տեսակը
Type of control setting hob,Тип настройки управления варочной панели,Վառարանի կառավարման կարգավորման տեսակը
Type of controls,Тип органов управления,Կառավարման տարրերի տեսակը
Type of cooling gas,Тип охлаждающего газа,Սառեցնող գազի տեսակը
Type of crisper/vegetable drawers cover,Тип крышки контейнера для овощей,Բանջարեղենի դարակի կափարիչի տեսակը
Type of electric cable installed,Тип установленного электрического кабеля,Տեղադրված էլեկտրական մալուխի տեսակը
Type of electric cable supplied,Тип поставляемого электрического кабеля,Մատակարարվող էլեկտրական մալուխի տեսակը
Type of gas burners,Тип газовых горелок,Գազի այրիչների տեսակը
Type of internal light,Тип внутренней подсветки,Ներքին լուսավորության տեսակը
Type of internal light (freezer),Тип внутренней подсветки (морозильная камера),Ներքին լուսավորության տեսակը (սառցախցիկ)
Type of internal light (fridge),Тип внутренней подсветки (холодильник),Ներքին լուսավորության տեսակը (սառնարան)
Type of logo,Тип логотипа,Լոգոտիպի տեսակը
Type of main oven,Тип основной духовки,Հիմնական ջեռոցի տեսակը
Type of motor,Тип двигателя,Շարժիչի տեսակը
Type of packaging,Тип упаковки,Փաթեթավորման տեսակը
Type of pan stands,Тип подставок для посуды,Թավայի հենարանների տեսակը
Type of second oven,Тип второй духовки,Երկրորդ ջեռոցի տեսակը
Type of shelves,Тип полок,Դարակների տեսակը
Type of steel,Тип стали,Պողպատի տեսակը
Type of temperature control,Тип регулировки температуры,Ջերմաստիճանի կառավարման տեսակը
UK PSTI support period end date,Дата окончания периода поддержки UK PSTI,Մեծ Բրիտանիայի PSTI աջակցության ժամկետի ավարտի ամսաթիվ
USB-C Cable colour,Цвет кабеля USB-C,USB-C մալուխի գույնը
USB_C cable length,Длина кабеля USB-C,USB-C մալուխի երկարությունը
Ultra Express,Ультра-экспресс,Ուլտրա-էքսպրես
Ultra rapid,Ультра-быстрый,Ուլտրա-արագ
Undermount cutout radius,Радиус выреза под нижний монтаж,Ստորին տեղադրման կտրվածքի շառավիղ
Unit measurement function,Функция единиц измерения,Միավորների չափման գործառույթ
Upper Basket,Верхняя корзина,Վերին զամբյուղ
Upper base finishing,Верхняя отделка основания,Վերին հիմքի հարդարում
Upper base material,Материал верхнего основания,Վերին հիմքի նյութ
Upper basket with EasyGlide System,Верхняя корзина с системой EasyGlide,Վերին զամբյուղ EasyGlide համակարգով
Upper grip colour,Цвет верхней рукоятки,Վերին բռնակի գույնը
Upper grip material,Материал верхней рукоятки,Վերին բռնակի նյութ
Upper heating element - Power,Верхний нагревательный элемент - Мощность,Վերին ջեռուցման տարր - Հզորություն
Upper panel finishing,Верхняя отделка панели,Վերին վահանակի հարդարում
Upper panel material,Материал верхней панели,Վերին վահանակի նյութ
Upstand,Бортик,Ելուստ
User-replaceable light,Заменяемая пользователем подсветка,Օգտատիրոջ կողմից փոխարինվող լուսավորություն
Utility knife,Универсальный нож,Օգտակար դանակ
V-Condense System,Система V-Condense,V-Condense համակարգ
V-Condense System PRO,Система V-Condense PRO,V-Condense PRO համակարգ
Vapor Clean,Паровая очистка,Գոլորշու մաքրում
Variable speed,Переменная скорость,Փոփոխական արագություն
Vegetable knife,Овощной нож,Բանջարեղենի դանակ
Vent outlet,Выход вентиляции,Օդափոխության ելք
Vitality system,Система Vitality,Կենսունակության համակարգ
Voltage,Напряжение,Լարում
Voltage (V),Напряжение (В),Լարում (Վ)
Voltage 2 (V),Напряжение 2 (В),Լարում 2 (Վ)
Volume,Объём,Ծավալ
WIRE WHISK,ВЕНЧИК,ՀԱՐԻՉ
Warm function,Функция подогрева,Տաքացման գործառույթ
Warm insulation,Теплоизоляция,Ջերմամեկուսացում
Warming functions,Функции подогрева,Տաքացման գործառույթներ
Warming level adjustment,Регулировка уровня подогрева,Տաքացման մակարդակի կարգավորում
Wash and dry cycle duration (Rated capacity),Длительность цикла стирки и сушки (номинальная загрузка),Լվացքի և չորացման ցիկլի տևողություն (գնահատված հզորություն)
Washing Temperature,Температура стирки,Լվացքի ջերմաստիճան
Washing system,Система стирки,Լվացքի համակարգ
Washing temperatures,Температуры стирки,Լվացքի ջերմաստիճաններ
Water Container Capacity,Вместимость контейнера для воды,Ջրի տարայի հզորություն
Water condenser position,Положение водяного конденсатора,Ջրի կոնդենսատորի դիրքը
Water consumption (Complete cycle),Расход воды (полный цикл),Ջրի սպառում (ամբողջական ցիկլ)
Water consumption (Washing cycle),Расход воды (цикл стирки),Ջրի սպառում (լվացման ցիկլ)
Water consumption [per cycle, eco 40-60 programme],Расход воды [за цикл, программа eco 40-60],Ջրի սպառում [մեկ ցիկլով, eco 40-60 ծրագիր]
Water consumption [per cycle],Расход воды [за цикл],Ջրի սպառում [մեկ ցիկլով]
Water depuration filter,Фильтр очистки воды,Ջրի մաքրման ֆիլտր
Water depuration filter type,Тип фильтра очистки воды,Ջրի մաքրման ֆիլտրի տեսակը
Water hardness test strip,Тест-полоска жёсткости воды,Ջրի կարծրության թեստ-շերտ
Water level indicator,Индикатор уровня воды,Ջրի մակարդակի ցուցիչ
Water loading,Загрузка воды,Ջրի լիցքավորում
Water production (l/min),Производительность воды (л/мин),Ջրի արտադրություն (լ/ր)
Water softener,Смягчитель воды,Ջրի փափկեցուցիչ
Water supply,Водоснабжение,Ջրամատակարարում
Weighing unit,Единица взвешивания,Կշռման միավոր
Weighted energy consumption [per 100 cycles, (Complete cycle)],Средневзвешенное энергопотребление [на 100 циклов, (полный цикл)],Կշռված էներգիայի սպառում [100 ցիկլով, (ամբողջական ցիկլ)]
Weighted energy consumption [per 100 cycles, (Washing cycle)],Средневзвешенное энергопотребление [на 100 циклов, (цикл стирки)],Կշռված էներգիայի սպառում [100 ցիկլով, (լվացման ցիկլ)]
Weighted energy consumption [per 100 cycles, eco 40-60 programme],Средневзвешенное энергопотребление [на 100 циклов, программа eco 40-60],Կշռված էներգիայի սպառում [100 ցիկլով, eco 40-60 ծրագիր]
Weighted energy consumption in kWh per drying cycle,Средневзвешенное энергопотребление в кВтч за цикл сушки,Կշռված էներգիայի սպառում կՎտժ-ով մեկ չորացման ցիկլով
Whipped Cream min,Мин. взбитых сливок,Նվազագույն հարած սերուցք
Whipped cream max,Макс. взбитых сливок,Առավելագույն հարած սերուցք
White Menu,Белое меню,Սպիտակ մենյու
Wide baking tray,Широкий противень,Լայն թխման սկուտեղ
Widht of the packed product (in),Ширина упакованного продукта (дюймы),Փաթեթավորված արտադրանքի լայնություն (դյույմ)
Width,Ширина,Լայնություն
Width (mm),Ширина (мм),Լայնություն (մմ)
Width (mm) packaged,Ширина упаковки (мм),Փաթեթավորման լայնություն (մմ)
Width of the built-in niche,Ширина ниши для встраивания,Ներկառուցման խորշի լայնություն
Width packaged,Ширина упаковки,Փաթեթավորման լայնություն
Window color,Цвет окна,Պատուհանի գույնը
Window material,Материал окна,Պատուհանի նյութ
Wire whisk,Венчик,Հարիչ
Wire whisk adaptor color,Цвет адаптера венчика,Հարիչի ադապտերի գույնը
Wire whisk color,Цвет венчика,Հարիչի գույնը
Wire whisk dimensions,Размеры венчика,Հարիչի չափերը
Wire whisk material,Материал венчика,Հարիչի նյութ
Wire whisk net weight,Вес венчика нетто,Հարիչի զուտ քաշը
Wok stand,Подставка для вока,Վոկի հենարան
Working temperature,Рабочая температура,Աշխատանքային ջերմաստիճան
Worktop Cut-Out,Вырез в столешнице,Սեղանի կտրվածք
pan detection,Обнаружение посуды,Թավայի հայտնաբերում
