value_en,value_ru,value_hy
Red,Красный,Կարմիր
Reduced height 90 cm,Уменьшенная высота 90 см,Նվազեցված բարձրություն 90 սմ
Reduction Grid,Решетка-переходник,Նվազեցման ցանց
Refractory stone,Шамотный камень,Հրակայուն քար
Refractory stone (round without handles) + cover,Шамотный камень (круглый без ручек) + крышка,Հրակայուն քար (կլոր առանց բռնակների) + կափարիչ
Refrigerator,Холодильник,Սառնարան
Remote control,Дистанционное управление,Հեռակառավարման վահանակ
Remote lever and telescopic mixer,Выносной рычаг и телескопический смеситель,Հեռավոր լծակ և հեռադիտակային խառնիչ
"Residual time indicator, delay start, Recommended load indicator","Индикатор остаточного времени, отложенный старт, индикатор рекомендуемой загрузки","Մնացորդային ժամանակի ցուցիչ, հետաձգված մեկնարկ, առաջարկվող բեռի ցուցիչ"
"Residual time indicator, delay start, Recommended load indicator, programme status indication, spin regulation","Индикатор остаточного времени, отложенный старт, индикатор рекомендуемой загрузки, индикация статуса программы, регулировка отжима","Մնացորդային ժամանակի ցուցիչ, հետաձգված մեկնարկ, առաջարկվող բեռի ցուցիչ, ծրագրի կարգավիճակի ցուցում, պտտման կարգավորում"
"Residual time indicator, delay start, Recommended load indicator, programme status indication, spin regulation, temperature regulation","Индикатор остаточного времени, отложенный старт, индикатор рекомендуемой загрузки, индикация статуса программы, регулировка отжима, регулировка температуры","Մնացորդային ժամանակի ցուցիչ, հետաձգված մեկնարկ, առաջարկվող բեռի ցուցիչ, ծրագրի կարգավիճակի ցուցում, պտտման կարգավորում, ջերմաստիճանի կարգավորում"
"Residual time indicator, delay start, programme status indication","Индикатор остаточного времени, отложенный старт, индикация статуса программы","Մնացորդային ժամանակի ցուցիչ, հետաձգված մեկնարկ, ծրագրի կարգավիճակի ցուցում"
"Residual time indicator, delay start, programme status indication, spin regulation, temperature regulation","Индикатор остаточного времени, отложенный старт, индикация статуса программы, регулировка отжима, регулировка температуры","Մնացորդային ժամանակի ցուցիչ, հետաձգված մեկնարկ, ծրագրի կարգավիճակի ցուցում, պտտման կարգավորում, ջերմաստիճանի կարգավորում"
Reversible,Реверсивный,Շրջելի
Rigae,Ригае,Ռիգաե
Right,Правая,Աջ
Riveting,Клепка,Գամում
Rondò waste kit,Сливной комплект Rondò,Rondò արտահոսքի հավաքածու
Rosso,Красный,Կարմիր
Round,Круглый,Կլոր
Rounded,Скругленный,Կլորացված
Rubber,Резина,Ռետին
Ruby Red,Рубиново-красный,Ռուբին կարմիր
Rust,Ржавый,Ժանգոտ
SAN,SAN,ՍԱՆ
SMEG,SMEG,SMEG
SMEG x 24Bottles,SMEG x 24 бутылки,SMEG x 24 շիշ
STX,STX,STX
Salt funel,Воронка для соли,Աղի ձագար
Sares,Sares,Սարես
Satin,Матовая,Ատլասե
Satin metal and black,Сатиновый металл и черный,Ատլասե մետաղ և սև
Satin with chromed edge,Атласная с хромированным краем,Ատլասե քրոմապատ եզրով
Scotch Brite,Scotch Brite,Scotch Brite
Scraper,Скребок,Քերիչ
"Screw-in, 400-425g/60L- 80L (14.5 oz CO2/60L)","Винтовой, 400-425г/60л-80л (14.5 унций CO2/60л)","Պտուտակային, 400-425գ/60լ-80լ (14.5 ունցիա CO2/60լ)"
Sea Salt Green,Зеленый морской соли,Ծովի աղի կանաչ
Sealing paste,Герметизирующая паста,Հերմետիկ մածուկ
Selection,Выбор,Ընտրություն
Selection squared,Квадратный выбор,Քառակուսի ընտրություն
Selezione,Коллекция,Հավաքածու
Self balancing with fixed hinges,Самобалансирующиеся с фиксированными петлями,Ինքնահավասարակշռվող՝ ֆիքսված ծխնիներով
Self balancing with variable hinges,Самобалансирующиеся с переменными петлями,Ինքնահավասարակշռվող՝ փոփոխական ծխնիներով
"Self balancing, Sliding, FLEXIFIT","Самобалансирующиеся, скользящие, FLEXIFIT","Ինքնահավասարակշռվող, սահող, FLEXIFIT"
Semi-professional single lever,Полупрофессиональный однорычажный,Կիսապրոֆեսիոնալ մեկ լծակով
Shade Green,Теневой зеленый,Ստվերային կանաչ
"Shirts, Cotton, Delicates, Eco 40-60, Jeans, Wool, Hand Wash, Mix, Night, Duvet, Quick Wash, Rinse + Spin, Drain + Spin, Synthetics, Sport","Рубашки, хлопок, деликатное, Eco 40-60, джинсы, шерсть, ручная стирка, смесь, ночная, пуховое одеяло, быстрая стирка, полоскание + отжим, слив + отжим, синтетика, спорт","Վերնաշապիկներ, բամբակ, նրբություններ, Eco 40-60, ջինսեր, բուրդ, ձեռքով լվացում, խառնուրդ, գիշեր, վերմակ, արագ լվացում, ողողում + պտտում, արտահոսք + պտտում, սինթետիկա, սպորտ"
Shrinkwrap,Термоусадочная пленка,Ջերմասեղմվող փաթեթավորում
Si Advance,Si Advance,Si Advance
Sicilian cart,Сицилийская повозка,Սիցիլիական սայլ
Sicily is my love,Сицилия - моя любовь,Սիցիլիան իմ սերն է
Side bowl,Боковая чаша,Կողային թաս
Side by side undermount bowls,Рядом друг с другом под столешницей,Կողք կողքի սեղանի տակ
Side opening,Боковое открытие,Կողային բացում
Side-opening,С боковым открытием,Կողային բացվող
Silicon,Силикон,Սիլիկոն
Silicone,Силикон,Սիլիկոն
Silicone spout,Силиконовый носик,Սիլիկոնե ժայթք
Silver,Серебристый,Արծաթագույն
Silver (oropal grey),Серебристый (серо-оропаловый),Արծաթագույն (օրոպալ մոխրագույն)
Silver (oropal),Серебристый (оропал),Արծաթագույն (օրոպալ)
Silver (titanium matches st/steel),Серебристый (титан под нержавеющую сталь),Արծաթագույն (տիտան համապատասխանում է չժանգոտվող պողպատին)
Single,Одинарный,Մեկ
Single Acquastop,Одиночный Aquastop,Մեկ Acquastop
"Single Espresso, Double Espresso, Steam","Одиночный эспрессо, двойной эспрессо, пар","Մեկ էսպրեսսո, կրկնակի էսպրեսսո, գոլորշի"
Single door,С одной дверцей,Միադուռ
Single jet,Одиночный,Մեկ շիթ
Single lever,Однорычажный,Մեկ լծակ
"Single long espresso, Double long Espresso,","Один лунго, двойной лунго","Մեկ երկար էսպրեսսո, կրկնակի երկար էսպրեսսո"
Single wall non insulated bottle,Бутылка с одной стенкой без изоляции,Մեկ պատով չմեկուսացված շիշ
"Single, Double","Одинарный, двойной","Մեկ, կրկնակի"
"Single, cold","Одинарный, холодный","Միակողմանի, սառը"
Single-phase,Однофазное,Միաֆազ
Single; cold/hot water max. 60°C - energysave with hot water up to 35%,Одинарный; холодная/горячая вода макс. 60°C – энергосбережение с горячей водой до 35%,Մեկ; սառը/տաք ջուր առավելագույնը 60°C – էներգախնայողություն տաք ջրով մինչև 35%
Sink,Мойка,Լվացարան
Sinks,Мойки,Լվացարաններ
Slate Grey,Шиферно-серый,Թերթաքարի մոխրագույն
Slicer & grater (4 accessories),Слайсер и терка (4 аксессуара),Կտրիչ և քերիչ (4 աքսեսուար)
Slider,Ползунок,Սահիչ
Sliding,Скользящие,Սահող
Sliding lever,Раздвижной рычаг,Սահող լծակ
Slim (46 cm),Тонкий (46 см),Նեղ (46 սմ)
Smeg & Dolce&Gabbana,Smeg & Dolce&Gabbana,Smeg & Dolce&Gabbana
Smeg & Fiat,Smeg & Fiat,Smeg & Fiat
Smeg & Peanuts,Smeg & Peanuts,Smeg & Peanuts
Smeg Classic,Smeg Classic,Smeg Classic
Smeg Contemporary,Smeg Contemporary,Smeg Contemporary
Smeg Master Pro Silver,Smeg Master Pro Silver,Smeg Master Pro Silver
Smeg ST 2010,Smeg ST 2010,Smeg ST 2010
Smeg Victoria,Smeg Victoria,Smeg Victoria
Smeg round handle,Круглая ручка Smeg,Smeg կլոր բռնակ
Smoked,Тонированный,Մուգ
Snoopy,Snoopy,Snoopy
Soap Dispenser,Дозатор мыла,Օճառի դիսպենսեր
Soda Maker,Газировщик,Գազավորված ջրի արտադրիչ
Soft Opening,Мягкое открытие,Փափուկ բացում
Soft plastic,Мягкий пластик,Փափուկ պլաստիկ
Soft touch plastic,Мягкий на ощупь пластик,Փափուկ հպման պլաստիկ
Sous-vide bags,Пакеты для су-вид,Սու-վիդի պայուսակներ
Speedwave,Speedwave,Speedwave
SpeedwaveXL,SpeedwaveXL,SpeedwaveXL
Splashback,Защитная панель,Սփլեշբեք
Spring spout,Пружинный носик,Զսպանակային ժայթք
Squared,Квадратный,Քառակուսի
Squared bowl,Квадратная чаша,Քառակուսի թաս
Stabiliser,Стабилизатор,Կայունացուցիչ
Stainless Steel,Нержавеющая сталь,Չժանգոտվող պողպատ
Stainless Steel + Glass,Нержавеющая сталь + стекло,Չժանգոտվող պողպատ + ապակի
Stainless Steel + Painted Material,Нержавеющая сталь + окрашенный материал,Չժանգոտվող պողպատ + ներկված նյութ
Stainless Steel and Glass,Нержавеющая сталь и стекло,Չժանգոտվող պողպատ և ապակի
Stainless Steel/Plastic,Нержавеющая сталь/Пластик,Չժանգոտվող պողպատ/Պլաստիկ
Stainless steel,Нержавеющая сталь,Չժանգոտվող պողպատ
Stainless steel / Plastic,Нержавеющая сталь / Пластик,Չժանգոտվող պողպատ / Պլաստիկ
Stainless steel 18/8,Нержавеющая сталь 18/8,Չժանգոտվող պողպատ 18/8
Stainless steel AISI 316,Нержавеющая сталь AISI 316,Չժանգոտվող պողպատ AISI 316
Stainless steel AISI304,Нержавеющая сталь AISI304,Չժանգոտվող պողպատ AISI304
Stainless steel and Glass,Нержавеющая сталь и стекло,Չժանգոտվող պողպատ և ապակի
Stainless steel and aluminium,Нержавеющая сталь и алюминий,Չժանգոտվող պողպատ և ալյումին
Stainless steel/Black,Нержавеющая сталь/черный,Չժանգոտվող պողպատ/սև
Stand Mixer,Планетарный миксер,Սեղանի հարիչ
Stand Mixer Full Color,Планетарный миксер Full Color,Ամբողջական գույնի սեղանի հարիչ
Stand Mixer Standard,Стандартный планетарный миксер,Ստանդարտ սեղանի հարիչ
Stand mixer,Планетарный миксер,Սեղանի հարիչ
Standard,Стандартные,Ստանդարտ
Standard (54 cm),Стандартная (54 см),Ստանդարտ (54 սմ)
Standard (clear),Стандартное (прозрачное),Ստանդարտ (թափանցիկ)
Standard + undermount clip,Стандартный + зажим для нижнего монтажа,Ստանդարտ + ստորին տեղադրման սեղմիչ
Standard capacity,Стандартная вместимость,Ստանդարտ հզորություն
Standard opening,Стандартное открытие,Ստանդարտ բացում
"Standard, Undermount","Стандартный, под столешницу","Ստանդարտ, սեղանի տակ"
Start and Stop,Старт и стоп,Սկիզբ և ավարտ
Start and stop,Старт и стоп,Սկիզբ և ավարտ
Static,Статический,Ստատիկ
Steam Lever,Рычаг пара,Գոլորշու լծակ
Steam100,Steam100,Steam100
Steam100 Pro,Steam100 Pro,Steam100 Pro
SteamOne,SteamOne,SteamOne
Steel,Сталь,Պողպատ
Steel Effect,Эффект стали,Պողպատի էֆեկտ
Steel effect,Эффект стали,Պողպատի էֆեկտ
Steel grill and steel bottom box Plastic handles with anti-heat treatment. Suitable for TSF01 and TSF03,Стальная решетка и стальной нижний ящик. Пластиковые ручки с термообработкой. Подходит для TSF01 и TSF03,Պողպատե գրիլ և պողպատե ներքևի տուփ: Ջերմակայուն մշակմամբ պլաստիկ բռնակներ: Հարմար է TSF01 և TSF03-ի համար
Stop,Стоп,Կանգ
Stopsol,Stopsol,Stopsol
Storm Blue,Синий шторм,Մրրկային կապույտ
Storm blue,Синий шторм,Մրրկային կապույտ
Stovetop kettle,Чайник для плиты,Վառարանի թեյնիկ
Straight edge,Прямой край,Ուղիղ եզր
Straight spout,Прямой носик,Ուղիղ ժայթք
"Strainer, Fixing clips","Дуршлаг, крепежные зажимы","Քամիչ, ամրացնող սեղմիչներ"
"Strainer, Fixing clips, Gasket","Дуршлаг, крепежные зажимы, прокладка","Քամիչ, ամրացնող սեղմիչներ, միջադիր"
"Strainer, Savespace siphon with dishwasher outlet connection, Fixing clips","Дуршлаг, сифон Savespace с подключением для посудомоечной машины, крепежные зажимы","Քամիչ, Savespace սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ"
"Strainer, Savespace siphon with dishwasher outlet connection, Fixing clips, Automatic pop-up with push control","Дуршлаг, сифон Savespace с подключением для посудомоечной машины, крепежные зажимы, автоматический всплывающий механизм с кнопкой","Քամիչ, Savespace սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, ավտոմատ բացվող մեխանիզմ հրումային կառավարմամբ"
"Strainer, Savespace siphon with dishwasher outlet connection, Fixing clips, Gasket","Дуршлаг, сифон Savespace с подключением для посудомоечной машины, крепежные зажимы, прокладка","Քամիչ, Savespace սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, միջադիր"
"Strainer, Savespace siphon with dishwasher outlet connection, Fixing clips, Gasket, Automatic pop - up with roudn rotary control","Дуршлаг, сифон Savespace с подключением для посудомоечной машины, крепежные зажимы, прокладка, автоматический всплывающий механизм с круглым поворотным управлением","Քամիչ, Savespace սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, միջադիր, ավտոմատ բացվող մեխանիզմ կլոր պտտվող կառավարմամբ"
"Strainer, Savespace siphon with dishwasher outlet connection, Fixing clips, Gasket, Blanking cap","Дуршлаг, сифон Savespace с подключением для посудомоечной машины, крепежные зажимы, прокладка, заглушка","Քամիչ, Savespace սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, միջադիր, խցան"
"Strainer, Savespace siphon with dishwasher outlet connection, Fixing clips, Silicone","Дуршлаг, сифон Savespace с подключением для посудомоечной машины, крепежные зажимы, силикон","Քամիչ, Savespace սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, սիլիկոն"
"Strainer, Siphon with dishwasher outlet connection, Fixing clips, Gasket","Дуршлаг, сифон с подключением для посудомоечной машины, крепежные зажимы, прокладка","Քամիչ, սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, միջադիր"
"Strainer, Siphon with dishwasher outlet connection, Fixing clips, Gasket, Blanking cap","Дуршлаг, сифон с подключением для посудомоечной машины, крепежные зажимы, прокладка, заглушка","Քամիչ, սիֆոն աման լվացող մեքենայի միացումով, ամրացնող սեղմիչներ, միջադիր, խցան"
Suction cup,Присоска,Ներծծող բաժակ
Support,Подставка,Հենարան
Suspended,Подвесная,Կախովի
"Switch-on, switch-off, start of cycle, end of cycle","Включение, выключение, начало цикла, конец цикла","Միացում, անջատում, ցիկլի սկիզբ, ցիկլի ավարտ"
"Sì, a pressione prolungata su display","Да, при длительном нажатии на дисплее","Այո, էկրանին երկար սեղմումով"
T flat,T-образная плоская,T-հարթ
TFT,TFT-дисплей,Թվային դաշտային տրանզիստորային էկրան
"TFT graphic , colour touch screen","Графический TFT, цветной сенсорный экран","Գրաֆիկական TFT, գունավոր սենսորային էկրան"
Table Blender PERSONAL BLENDER,Настольный блендер ПЕРСОНАЛЬНЫЙ БЛЕНДЕР,Սեղանի բլենդեր ԱՆՀԱՏԱԿԱՆ ԲԼԵՆԴԵՐ
Tamping Mat,Коврик для трамбовки,Խտացման գորգ
Tangential,Тангенциальная,Տանգենցիալ
Taps,Смесители,Ծորակներ
Taupe,Тауповый,Մոխրագույն-շագանակագույն
Telescopic,Телескопическая,Հեռադիտակային
Telescopic Guides,Телескопические направляющие,Հեռադիտակային ուղեցույցներ
"Temperature alarm, Temperature value","Сигнал температуры, значение температуры","Ջերմաստիճանի ազդանշան, ջերմաստիճանի արժեք"
Teppanyaki,Теппаньяки,Տեպանյակի
Thermo-ventilated,Термовентилируемая,Ջերմային օդափոխվող
Thermoblock,Термоблок,Ջերմային բլոկ
Three-phase,Трехфазное,Եռաֆազ
"Time Drying, Delay start, Residual time indicator, Visualisation of the selected options","Время сушки, отложенный старт, индикатор остаточного времени, визуализация выбранных опций","Չորացման ժամանակ, հետաձգված մեկնարկ, մնացորդային ժամանակի ցուցիչ, ընտրված տարբերակների տեսողականացում"
Titanium,Титан,Տիտան
Toaster,Тостер,Տոստեր
Toaster 2x2,Тостер 2x2,Տոստեր 2x2
Toaster 2x4,Тостер 2x4,Տոստեր 2x4
Toaster 4x4,Тостер 4x4,Տոստեր 4x4
Top Mount,С верхней морозильной камерой,Վերին տեղադրման
Total,Полная,Ընդհանուր
Total Acquastop,Полный Acquastop,Ամբողջական Acquastop
Total No Frost,Полный No Frost,Ամբողջական No Frost
Total No Frost - Double Cooling system,Total No Frost - Двойная система охлаждения,Total No Frost - Կրկնակի սառեցման համակարգ
Total No Frost - Triple Cooling system,Total No Frost - Тройная система охлаждения,Total No Frost - Եռակի սառեցման համակարգ
Touch,Сенсорное,Սենսորային
Touch Capacitive,Емкостное сенсорное,Սենսորային կապակցված
Touch bottons,Сенсорные кнопки,Սենսորային կոճակներ
Touch control,Сенсорное управление,Սենսորային կառավարում
Touch control back-lighted White,Сенсорное управление с белой подсветкой,Սպիտակ հետին լուսավորությամբ սենսորային կառավարում
Touch on metal,Сенсорное на металле,Մետաղի վրա սենսորային
Traditional,Традиционный,Ավանդական
Traditional pyro,Традиционный пиролиз,Ավանդական պիրո
Transparent,Прозрачный,Թափանցիկ
Tray,Лоток,Սկուտեղ
Trigger,Курок,Ձգան
Tritan Renew,Tritan Renew,Tritan Renew
Tritan™ Renew,Tritan™ Renew,Tritan™ Renew
Tritan™ Renew BPA-free,Tritan™ Renew без BPA,Tritan™ Renew առանց BPA
Tritan™ Renew plastic,Пластик Tritan™ Renew,Tritan™ Renew պլաստիկ
Tube kit,Комплект трубок,Խողովակների հավաքածու
Tumble dryer,Сушильная машина,Չորանոց
Turquese,Бирюзовый,Փիրուզագույն
Twist and lock,Поворотный замок,Պտտել և կողպել
U spout,U-образный носик,U-ձև ժայթք
UK 13 AMP,Великобритания 13 А,Մեծ Բրիտանիա 13 Ա
Ultra-low profile,Ультранизкий профиль,Ուլտրա-ցածր պրոֆիլ
Ultra-low profile or Fully Flushed,Ультранизкий профиль или полностью вровень,Ուլտրա-ցածր պրոֆիլ կամ ամբողջովին հարթ
Under counter,Под столешницу,Սեղանի տակ
Under counter built-in,Встраиваемая под столешницу,Սեղանի տակ ներկառուցվող
Under cupboard,Под шкаф,Պահարանի տակ
Undermount,Под столешницу,Սեղանի տակ
Undermount clip,Зажим для нижнего монтажа,Սեղանի տակ ամրացման սեղմիչ
Union Jack,Юнион Джек,Միացյալ Թագավորության դրոշ
Universal,Универсальный,Ունիվերսալ
Universale,Универсальный,Ունիվերսալ
Until 100 cm,До 100 см,Մինչև 100 սմ
Until 60,До 60,Մինչև 60
Until 60 cm,До 60 см,Մինչև 60 սմ
Up to 24 hours,До 24 часов,Մինչև 24 ժամ
Up to 9 hours,До 9 часов,Մինչև 9 ժամ
Vacuum pump,Вакуумный насос,Վակուումային պոմպ
Valve,Клапан,Փական
Vapor Clean,Паровая очистка,Գոլորշու մաքրում
"Vapor Clean, Catalytic","Паровая очистка, каталитическая","Գոլորշու մաքրում, կատալիտիկ"
Variable,Переменный,Փոփոխական
Verde pastello,Пастельно-зеленый,Բաց կանաչ
Verniciato,Окрашенный,Ներկված
"Vertical flame, flat design","Вертикальное пламя, плоский дизайн","Ուղղահայաց բոց, հարթ դիզայն"
Victoria,Виктория,Վիկտորիա
Visible front panel,Видимая передняя панель,Տեսանելի առջևի վահանակ
Vivo Screen,Экран Vivo,Vivo էկրան
Vivo Screen Max,Экран Vivo Max,Vivo Max էկրան
VivoScreen,VivoScreen,VivoScreen
VivoScreen max,VivoScreen max,VivoScreen max
Wall position,Настенное положение,Պատի դիրք
Washer dryer,Стирально-сушильная машина,Լվացքի-չորացման մեքենա
Washing Machine,Стиральная машина,Լվացքի մեքենա
Waste disposal,Измельчитель отходов,Աղբի մանրացում
Water Care,Забота о воде,Ջրի խնամք
Welded bowl,Сварная чаша,Եռակցված թաս
Welded sink,Сварная мойка,Եռակցված լվացարան
White,Белый,Սպիտակ
White / Silver,Белый / Серебряный,Սպիտակ / Արծաթագույն
White and blue,Белый и синий,Սպիտակ և կապույտ
White with Silver ring,Белый с серебряным кольцом,Սպիտակ արծաթե օղակով
White with silver handle,Белый с серебряной ручкой,Սպիտակ արծաթե բռնակով
Wine Cooler,Винный шкаф,Գինու պահարան
Wine coolers,Винные шкафы,Գինու պահարաններ
Wire,Проволока,Մետաղալար
With 1 foldable rack,С 1 складной полкой,1 ծալվող դարակով
With 2 foldable racks,С 2 складными полками,2 ծալվող դարակներով
With 2 horizontal strips,С 2 горизонтальными полосами,2 հորիզոնական շերտերով
With 3 foldable racks,С 3 складными полками,3 ծալվող դարակներով
With 4 foldable racks,С 4 складными полками,4 ծալվող դարակներով
With White led,С белым светодиодом,Սպիտակ LED-ով
With central fixed racks,С центральными фиксированными полками,Կենտրոնական ֆիքսված դարակներով
With electronic setting,С электронной настройкой,Էլեկտրոնային կարգավորումով
With fixed racks,С фиксированными полками,Ֆիքսված դարակներով
With frame,С рамкой,Շրջանակով
With handle,С ручкой,Բռնակով
With panel,С панелью,Վահանակով
With push pull system,С системой push-pull,Հրում-քաշում համակարգով
"With stacking kit, available as optional accessory","С комплектом для штабелирования, доступен как дополнительный аксессуар","Շտապելու հավաքածուով, հասանելի է որպես ընտրովի աքսեսուար"
Without frame,Без рамки,Առանց շրջանակի
Wok,Вок,Վոկ
Wood,Дерево,Փայտ
"WxDxH 315x412,5x54 mm","ШxГxВ 315x412,5x54 мм","ԼxԽxԲ 315x412,5x54 մմ"
"WxDxH 504,6x381x305 mm","ШxГxВ 504,6x381x305 мм","ԼxԽxԲ 504,6x381x305 մմ"
"WxDxH 504,6x425x305 mm","ШxГxВ 504,6x425x305 мм","ԼxԽxԲ 504,6x425x305 մմ"
"YES, regenerable","ДА, регенерируемый","ԱՅՈ, վերականգնվող"
Yellow,Желтый,Դեղին
Yes,Да,Այո
Yes regenerable,Да, регенерируемый,Այո, վերականգնվող
Yes with double flow for filtered water,Да, с двойным потоком для фильтрованной воды,Այո, ֆիլտրացված ջրի համար կրկնակի հոսքով
"Yes, 1 piece","Да, 1 предмет","Այո, 1 հատ"
"Yes, BPA-free, BPS-free, PES-free, PFAS-free and phthalate-free","Да, без BPA, BPS, PES, PFAS и фталатов","Այո, առանց BPA, BPS, PES, PFAS և ֆտալատների"
"Yes, Double and Three Phase","Да, двух- и трёхфазное","Այո, երկփուլ և եռաֆազ"
"Yes, Double phase","Да, двухфазное","Այո, երկփուլ"
"Yes, MAX/MIN","Да, MAX/MIN","Այո, MAX/MIN"
"Yes, Single and Double phase","Да, одно- и двухфазное","Այո, միաֆազ և երկֆազ"
"Yes, Single phase","Да, однофазное","Այո, միաֆազ"
"Yes, Three and Single/Two-phase","Да, трех- и одно/двухфазное","Այո, եռաֆազ և միաֆազ/երկֆազ"
"Yes, Three-phase","Да, трехфазное","Այո, եռաֆազ"
"Yes, at 100 °C","Да, при 100 °C","Այո, 100 °C ջերմաստիճանում"
"Yes, double","Да, двойной","Այո, կրկնակի"
"Yes, flush fitted","Да, вровень","Այո, սեղանի հետ հավասար"
"Yes, in Tritan™ Renew with gasket","Да, из Tritan™ Renew с прокладкой","Այո, Tritan™ Renew նյութից՝ միջադիրով"
"Yes, magnetic","Да, магнитный","Այո, մագնիսական"
"Yes, min. 10 cm","Да, мин. 10 см","Այո, նվազագույնը 10 սմ"
"Yes, min. 7 cm","Да, мин. 7 см","Այո, նվազագույնը 7 սմ"
"Yes, min. 9 cm","Да, мин. 9 см","Այո, նվազագույնը 9 սմ"
"Yes, multipoint","Да, многоточечный","Այո, բազմակետային"
"Yes, selection with button","Да, выбор с кнопкой","Այո, ընտրություն կոճակով"
"Yes, silicone","Да, силиконовый","Այո, սիլիկոնե"
"Yes, single","Да, одинарный","Այո, մեկ"
"Yes, single point","Да, одноточечный","Այո, մեկ կետով"
"Yes, the last 10 functions utilized","Да, 10 последних использованных функций","Այո, օգտագործված վերջին 10 գործառույթները"
"Yes, traditional","Да, традиционный","Այո, ավանդական"
"Yes, up to 2 functions","Да, до 2 функций","Այո, մինչև 2 գործառույթ"
"Yes, up to 2 steps","Да, до 2 шагов","Այո, մինչև 2 քայլ"
"Yes, up to 3 steps","Да, до 3 шагов","Այո, մինչև 3 քայլ"
"Yes, when at selected temperature","Да, при достижении выбранной температуры","Այո, ընտրված ջերմաստիճանի հասնելու դեպքում"
"Yes, with siphon","Да, с сифоном","Այո, սիֆոնով"
Zinc Alloy,Цинковый сплав,Ցինկի համաձուլվածք
Zync alloy,Цинковый сплав,Ցինկի համաձուլվածք
ceramic Eclipse,Керамика Eclipse,Կերամիկա Eclipse
diametro 375 mm,Диаметр 375 мм,Տրամագիծ 375 մմ
light/medium/hard,Слабая/средняя/жесткая,Թույլ/միջին/կոշտ
low/medium/high,Низкая/средняя/высокая,Ցածր/միջին/բարձր
multilevel LED,Многоуровневый светодиод,Բազմաստիճան LED
none,Нет,Ոչ մի
si-AUTO,Да-АВТО,Այո-ԱՎՏՈ
soft / medium / hard,Мягкая / средняя / жесткая,Փափուկ / միջին / կոշտ
water loading kit,Комплект заливки воды,Ջրի լիցքավորման հավաքածու
